class0,420,0,17,18,1,35,27,1,4,0,
class1,1,1,32,31,494,45,15,294,32,472,
class2,28,1,20,170,6,284,15,3,549,14,
class3,2,3,3,8,322,44,0,631,28,442,
class4,2,2,727,28,5,5,20,5,12,3,
class5,452,0,1,4,2,12,14,1,5,7,
class6,6,419,54,18,69,183,50,67,100,28,
class7,26,0,33,12,32,17,799,3,16,1,
class8,0,697,65,58,28,14,33,52,46,34,
class9,23,3,42,643,0,302,6,1,187,13,
