class0,0,668,59,50,17,12,24,44,38,26
class1,0,1,16,43,362,53,2,359,40,445
class2,39,0,22,15,18,38,681,1,11,1
class3,38,0,27,0,230,15,209,44,24,119
class4,6,2,725,25,1,1,3,6,10,1
class5,70,1,18,224,4,317,16,2,513,9
class6,3,448,63,8,61,147,32,58,91,21
class7,3,3,7,7,266,37,0,543,31,378
class8,769,0,11,8,0,13,7,1,5,1
class9,32,3,46,610,0,308,5,0,216,13
